R2,RMSE,MAE,model,dataset
0.03632500771164826,5.213131666467831,3.7107301413976006,Lasso,metadata
0.04488179044674112,5.18993551689057,3.698037798588335,XGBoost,metadata
0.05156560780855479,5.171744322959863,3.6812284152404935,CatBoost,metadata
0.1522957640222552,4.889400088604448,3.5250102758624187,Lasso,microbiome
0.1589703112260401,4.870113276725269,3.496679058851234,XGBoost,microbiome
0.15819545631174892,4.872356219203124,3.499431512490972,CatBoost,microbiome
0.17218497391538046,4.831701011072064,3.4567944045499286,Lasso,full
0.1945647914607873,4.765941470218431,3.3855343867381418,XGBoost,full
0.20039083043280392,4.748673194279603,3.3742745877805302,CatBoost,full
